endTime,artistName,trackName,msPlayed,month
2021-03-10T18:45:00Z,Phillip Larue,West Coast,2133,March 2021
2021-03-10T18:50:00Z,Matt Luneburg,Highway,264756,March 2021
2021-03-10T18:52:00Z,Huey Mack,I Hope This Lasts,156801,March 2021
2021-03-10T18:55:00Z,Max Drazen,Ruins,191136,March 2021
2021-03-10T18:59:00Z,Dylan Fiedler,Lost,189779,March 2021
2021-03-10T19:02:00Z,SEBASTIAN PAUL,IMPATIENT,189295,March 2021
2021-03-10T19:05:00Z,X Ambassadors,Belong,218885,March 2021
2021-03-10T19:21:00Z,Jake Scott,We Haven't Looked at Our Phones,28118,March 2021
2021-03-10T19:21:00Z,Jake Scott,We Haven't Looked at Our Phones,149820,March 2021
2021-03-10T19:25:00Z,James Droll,Self Sacrifice,210301,March 2021
2021-03-10T19:26:00Z,My.,Better,62726,March 2021
2021-03-10T19:29:00Z,prettyboyshav,4runner,192560,March 2021
2021-03-10T19:32:00Z,mike.,Fly You to the Moon,191190,March 2021
2021-03-10T19:36:00Z,My Brothers And I,Didn't See It Coming - Vinze Remix,208598,March 2021
2021-03-10T19:39:00Z,Jackson Bales,Figure It Out,202702,March 2021
2021-03-10T19:49:00Z,Bajillionaire,Sleepwalking,206769,March 2021
2021-03-10T19:52:00Z,DOUBLECAMP,Smoke and Mirrors,191348,March 2021
2021-03-10T19:57:00Z,RELIC,3 AM,329534,March 2021
2021-03-10T20:00:00Z,NEIKED,Sometimes,193695,March 2021
2021-03-10T20:03:00Z,nobigdyl.,close,175280,March 2021
2021-03-10T20:06:00Z,harley,BACKSEAT,178108,March 2021
2021-03-10T20:10:00Z,Marcaux,Cedar Creek,223333,March 2021
2021-03-10T20:13:00Z,Jiwhan Kim,Suicidal Starlight,177612,March 2021
2021-03-10T20:16:00Z,Garrett Zoukis,Symmetry,179138,March 2021
2021-03-10T20:21:00Z,Brennen Henson,Hold Me,252055,March 2021
2021-03-10T20:25:00Z,Phillip Larue,West Coast,274240,March 2021
2021-03-10T20:30:00Z,Dawson Hollow,Hills & Roads,271266,March 2021
2021-03-10T20:31:00Z,Paycheck,NO WORRIES,65095,March 2021
2021-03-11T01:46:00Z,Paycheck,NO WORRIES,5717,March 2021
2021-03-11T01:54:00Z,Matt Luneburg,Highway,264756,March 2021
2021-03-11T01:58:00Z,Huey Mack,I Hope This Lasts,156801,March 2021
2021-03-11T02:06:00Z,Dylan Fiedler,Lost,7436,March 2021
2021-03-11T02:06:00Z,Max Drazen,Ruins,191136,March 2021
2021-03-11T02:44:00Z,SEBASTIAN PAUL,IMPATIENT,189295,March 2021
2021-03-11T03:55:00Z,Matt Luneburg,Highway,264756,March 2021
2021-03-11T03:57:00Z,Huey Mack,I Hope This Lasts,156801,March 2021
2021-03-11T04:00:00Z,Max Drazen,Ruins,191136,March 2021
2021-03-11T04:01:00Z,Dylan Fiedler,Lost,17080,March 2021
2021-03-11T04:04:00Z,SEBASTIAN PAUL,IMPATIENT,189295,March 2021
2021-03-11T04:07:00Z,X Ambassadors,Belong,218885,March 2021
2021-03-11T04:10:00Z,Jake Scott,We Haven't Looked at Our Phones,165453,March 2021
2021-03-12T01:00:00Z,James Droll,Self Sacrifice,210301,March 2021
2021-03-12T01:04:00Z,My.,Better,65378,March 2021
2021-03-12T01:08:00Z,prettyboyshav,4runner,248314,March 2021
2021-03-12T01:10:00Z,mike.,Fly You to the Moon,130235,March 2021
2021-03-12T07:08:00Z,My Brothers And I,Didn't See It Coming - Vinze Remix,3610,March 2021
2021-03-12T07:11:00Z,Jackson Bales,Figure It Out,202702,March 2021
2021-03-12T07:14:00Z,Bajillionaire,Sleepwalking,206769,March 2021
2021-03-12T07:18:00Z,DOUBLECAMP,Smoke and Mirrors,191348,March 2021
2021-03-12T07:23:00Z,RELIC,3 AM,329534,March 2021
2021-03-12T07:26:00Z,NEIKED,Sometimes,193695,March 2021
2021-03-12T07:29:00Z,nobigdyl.,close,175280,March 2021
2021-03-12T07:32:00Z,harley,BACKSEAT,178108,March 2021
2021-03-12T07:36:00Z,Marcaux,Cedar Creek,223333,March 2021
2021-03-12T07:38:00Z,Jiwhan Kim,Suicidal Starlight,99097,March 2021
2021-03-12T07:41:00Z,Garrett Zoukis,Symmetry,179138,March 2021
2021-03-12T07:45:00Z,Brennen Henson,Hold Me,252055,March 2021
2021-03-12T07:50:00Z,Phillip Larue,West Coast,274240,March 2021
2021-03-12T07:54:00Z,Dawson Hollow,Hills & Roads,271266,March 2021
2021-03-12T07:58:00Z,Paycheck,NO WORRIES,186514,March 2021
2021-03-12T08:03:00Z,Max Wassen,Getting High & Eating Stuff With Cream,337256,March 2021
2021-03-12T08:05:00Z,The Giving Moon,Velvet Smile,127078,March 2021
2021-03-12T08:52:00Z,Cotes,Daffodils & Daisies,7530,March 2021
2021-03-12T08:55:00Z,Hooligin,Jets & Cigarettes,202817,March 2021
2021-03-12T09:00:00Z,Matt Luneburg,Highway,264756,March 2021
2021-03-12T09:03:00Z,Huey Mack,I Hope This Lasts,156801,March 2021
2021-03-12T09:08:00Z,Max Drazen,Ruins,191136,March 2021
2021-03-12T09:11:00Z,Dylan Fiedler,Lost,189779,March 2021
2021-03-12T09:14:00Z,SEBASTIAN PAUL,IMPATIENT,189295,March 2021
2021-03-12T09:15:00Z,X Ambassadors,Belong,149884,March 2021
2021-03-12T09:15:00Z,X Ambassadors,Belong,96290,March 2021
2021-03-12T20:47:00Z,X Ambassadors,Belong,219664,March 2021
2021-03-12T20:50:00Z,Jake Scott,We Haven't Looked at Our Phones,177120,March 2021
2021-03-12T20:53:00Z,James Droll,Self Sacrifice,210301,March 2021
2021-03-12T20:56:00Z,My.,Better,168018,March 2021
2021-03-12T21:37:00Z,prettyboyshav,4runner,248314,March 2021
2021-03-12T21:40:00Z,mike.,Fly You to the Moon,191190,March 2021
2021-03-12T21:43:00Z,My Brothers And I,Didn't See It Coming - Vinze Remix,208598,March 2021
2021-03-12T21:47:00Z,Jackson Bales,Figure It Out,202702,March 2021
2021-03-12T21:50:00Z,Bajillionaire,Sleepwalking,206769,March 2021
2021-03-12T21:53:00Z,DOUBLECAMP,Smoke and Mirrors,191348,March 2021
2021-03-12T21:59:00Z,RELIC,3 AM,329534,March 2021
2021-03-12T22:02:00Z,NEIKED,Sometimes,193695,March 2021
2021-03-12T22:05:00Z,nobigdyl.,close,175280,March 2021
2021-03-12T22:07:00Z,harley,BACKSEAT,178108,March 2021
2021-03-12T22:11:00Z,Marcaux,Cedar Creek,223333,March 2021
2021-03-13T07:27:00Z,Jiwhan Kim,Suicidal Starlight,156061,March 2021
